Model,Accuracy,F1 Score,Improvement
Baseline RF,0.2198844884488449,0.21990823066413687,0.0
Feature Selected RF,0.21575907590759075,,-0.004125412541254148
Tuned RF,0.4240924092409241,0.4282554302741498,0.20420792079207922
Voting Classifier,0.20957095709570958,0.22636052880844001,-0.010313531353135313
